time	V(x)
4,201230091078975e-004	5,347890e-001
4,220761341078976e-004	6,017092e-001
4,240292591078976e-004	6,595793e-001
4,259823841078976e-004	7,075287e-001
4,279355091078976e-004	7,448361e-001
4,298886341078976e-004	7,709405e-001
4,318417591078976e-004	7,854493e-001
4,337948841078976e-004	7,881442e-001
4,357480091078976e-004	7,789847e-001
4,377011341078976e-004	7,581085e-001
4,396542591078976e-004	7,258297e-001
4,416073841078976e-004	6,826336e-001
4,435605091078976e-004	6,291702e-001
4,455136341078976e-004	5,662435e-001
4,474667591078976e-004	4,947999e-001
4,494198841078976e-004	4,159141e-001
4,513730091078976e-004	3,307725e-001
4,533261341078976e-004	2,406558e-001
4,552792591078976e-004	1,469194e-001
4,572323841078976e-004	5,097325e-002
4,591855091078976e-004	-4,573962e-002
4,611386341078976e-004	-1,417645e-001
4,630917591078976e-004	-2,356572e-001
4,650448841078976e-004	-3,260053e-001
4,669980091078976e-004	-4,114500e-001
4,689511341078976e-004	-4,907061e-001
4,709042591078976e-004	-5,625815e-001
4,728573841078976e-004	-6,259953e-001
4,748105091078976e-004	-6,799934e-001
4,767636341078976e-004	-7,237638e-001
4,787167591078976e-004	-7,566481e-001
4,806698841078976e-004	-7,781518e-001
4,826230091078976e-004	-7,879512e-001
4,845761341078976e-004	-7,858992e-001
4,865292591078976e-004	-7,720265e-001
4,884823841078976e-004	-7,465419e-001
4,904355091078976e-004	-7,098286e-001
4,923886341078976e-004	-6,624387e-001
4,943417591078976e-004	-6,050851e-001
4,962948841078976e-004	-5,386306e-001
4,982480091078976e-004	-4,640745e-001
5,002011341078976e-004	-3,825383e-001
5,021542591078976e-004	-2,952484e-001
5,041073841078976e-004	-2,035177e-001
5,060605091078976e-004	-1,087258e-001
5,080136341078976e-004	-1,229866e-002
5,099667591078976e-004	8,431349e-002
5,119198841078976e-004	1,796575e-001
5,138730091078976e-004	2,722993e-001
5,158261341078976e-004	3,608454e-001
5,177792591078976e-004	4,439641e-001
5,197323841078976e-004	5,204052e-001
5,216855091078976e-004	5,890189e-001
5,236386341078976e-004	6,487732e-001
5,255917591078976e-004	6,987693e-001
5,275448841078976e-004	7,382553e-001
5,294980091078976e-004	7,666372e-001
5,314511341078976e-004	7,834883e-001
5,334042591078976e-004	7,885549e-001
5,353573841078976e-004	7,817609e-001
5,373105091078976e-004	7,632085e-001
5,392636341078976e-004	7,331768e-001
5,412167591078976e-004	6,921173e-001
5,431698841078976e-004	6,406478e-001
5,451230091078976e-004	5,795424e-001
5,470761341078976e-004	5,097201e-001
5,490292591078976e-004	4,322311e-001
5,509823841078976e-004	3,482410e-001
5,529355091078976e-004	2,590130e-001
5,548886341078976e-004	1,658892e-001
5,568417591078976e-004	7,027030e-002
5,587948841078976e-004	-2,640555e-002
5,607480091078976e-004	-1,226842e-001
5,627011341078976e-004	-2,171176e-001
5,646542591078976e-004	-3,082854e-001
5,666073841078976e-004	-3,948162e-001
5,685605091078976e-004	-4,754087e-001
5,705136341078976e-004	-5,488505e-001
5,724667591078976e-004	-6,140372e-001
5,744198841078976e-004	-6,699881e-001
5,763730091078976e-004	-7,158618e-001
5,783261341078976e-004	-7,509683e-001
5,802792591078976e-004	-7,747795e-001
5,822323841078976e-004	-7,869373e-001
5,841855091078976e-004	-7,872589e-001
5,861386341078976e-004	-7,757393e-001
5,880917591078976e-004	-7,525519e-001
5,900448841078976e-004	-7,180454e-001
5,919980091078976e-004	-6,727388e-001
5,939511341078976e-004	-6,173136e-001
5,959042591078977e-004	-5,526035e-001
5,978573841078977e-004	-4,795817e-001
5,998105091078977e-004	-3,993465e-001
6,017636341078977e-004	-3,131047e-001
6,037167591078977e-004	-2,221536e-001
6,056698841078977e-004	-1,278611e-001
6,076230091078977e-004	-3,164548e-002
6,095761341078977e-004	6,504615e-002
6,115292591078977e-004	1,607594e-001
6,134823841078977e-004	2,540547e-001
6,154355091078977e-004	3,435288e-001
6,173886341078977e-004	4,278359e-001
6,193417591078977e-004	5,057079e-001
6,212948841078977e-004	5,759737e-001
6,232480091078977e-004	6,375762e-001
6,252011341078977e-004	6,895890e-001
6,271542591078977e-004	7,312298e-001
6,291073841078977e-004	7,618721e-001
6,310605091078977e-004	7,810552e-001
6,330136341078977e-004	7,884905e-001
6,349667591078977e-004	7,840662e-001
6,369198841078977e-004	7,678488e-001
6,388730091078977e-004	7,400823e-001
6,408261341078977e-004	7,011842e-001
6,427792591078977e-004	6,517396e-001
6,447323841078977e-004	5,924922e-001
6,466855091078977e-004	5,243332e-001
6,486386341078977e-004	4,482878e-001
6,505917591078977e-004	3,654997e-001
6,525448841078977e-004	2,772142e-001
6,544980091078977e-004	1,847591e-001
6,564511341078977e-004	8,952503e-002
6,584042591078977e-004	-7,055567e-003
6,603573841078977e-004	-1,035300e-001
6,623105091078977e-004	-1,984473e-001
6,642636341078977e-004	-2,903798e-001
6,662167591078977e-004	-3,779446e-001
6,681698841078977e-004	-4,598249e-001
6,701230091078977e-004	-5,347890e-001
6,720761341078977e-004	-6,017092e-001
6,740292591078977e-004	-6,595793e-001
6,759823841078977e-004	-7,075287e-001
6,779355091078977e-004	-7,448361e-001
6,798886341078977e-004	-7,709405e-001
6,818417591078977e-004	-7,854493e-001
6,837948841078977e-004	-7,881442e-001
6,857480091078977e-004	-7,789847e-001
6,877011341078977e-004	-7,581085e-001
6,896542591078977e-004	-7,258297e-001
6,916073841078977e-004	-6,826336e-001
6,935605091078977e-004	-6,291702e-001
6,955136341078977e-004	-5,662435e-001
6,974667591078977e-004	-4,947999e-001
6,994198841078977e-004	-4,159141e-001
7,013730091078977e-004	-3,307725e-001
7,033261341078977e-004	-2,406558e-001
7,052792591078977e-004	-1,469194e-001
7,072323841078977e-004	-5,097325e-002
7,091855091078978e-004	4,573962e-002
7,111386341078978e-004	1,417645e-001
7,130917591078978e-004	2,356572e-001
7,150448841078978e-004	3,260053e-001
7,169980091078978e-004	4,114500e-001
7,189511341078978e-004	4,907061e-001
7,209042591078978e-004	5,625815e-001
7,228573841078978e-004	6,259953e-001
7,248105091078978e-004	6,799934e-001
7,267636341078978e-004	7,237638e-001
7,287167591078978e-004	7,566481e-001
7,306698841078978e-004	7,781518e-001
7,326230091078978e-004	7,879512e-001
7,345761341078978e-004	7,858992e-001
7,365292591078978e-004	7,720265e-001
7,384823841078978e-004	7,465419e-001
7,404355091078978e-004	7,098286e-001
7,423886341078978e-004	6,624387e-001
7,443417591078978e-004	6,050851e-001
7,462948841078978e-004	5,386306e-001
7,482480091078978e-004	4,640745e-001
7,502011341078978e-004	3,825383e-001
7,521542591078978e-004	2,952484e-001
7,541073841078978e-004	2,035177e-001
7,560605091078978e-004	1,087258e-001
7,580136341078978e-004	1,229866e-002
7,599667591078978e-004	-8,431349e-002
7,619198841078978e-004	-1,796575e-001
7,638730091078978e-004	-2,722993e-001
7,658261341078978e-004	-3,608454e-001
7,677792591078978e-004	-4,439641e-001
7,697323841078978e-004	-5,204052e-001
7,716855091078978e-004	-5,890189e-001
7,736386341078978e-004	-6,487732e-001
7,755917591078978e-004	-6,987693e-001
7,775448841078978e-004	-7,382553e-001
7,794980091078978e-004	-7,666372e-001
7,814511341078978e-004	-7,834883e-001
7,834042591078978e-004	-7,885549e-001
7,853573841078978e-004	-7,817609e-001
7,873105091078978e-004	-7,632085e-001
7,892636341078978e-004	-7,331768e-001
7,912167591078978e-004	-6,921173e-001
7,931698841078978e-004	-6,406478e-001
7,951230091078978e-004	-5,795424e-001
7,970761341078978e-004	-5,097201e-001
7,990292591078978e-004	-4,322311e-001
8,009823841078978e-004	-3,482410e-001
8,029355091078978e-004	-2,590130e-001
8,048886341078978e-004	-1,658892e-001
8,068417591078978e-004	-7,027030e-002
8,087948841078978e-004	2,640555e-002
8,107480091078978e-004	1,226842e-001
8,127011341078978e-004	2,171176e-001
8,146542591078978e-004	3,082854e-001
8,166073841078978e-004	3,948162e-001
8,185605091078978e-004	4,754087e-001
8,205136341078979e-004	5,488505e-001
8,224667591078979e-004	6,140372e-001
8,244198841078979e-004	6,699881e-001
8,263730091078979e-004	7,158618e-001
8,283261341078979e-004	7,509683e-001
8,302792591078979e-004	7,747795e-001
8,322323841078979e-004	7,869373e-001
8,341855091078979e-004	7,872589e-001
8,361386341078979e-004	7,757393e-001
8,380917591078979e-004	7,525519e-001
8,400448841078979e-004	7,180454e-001
8,419980091078979e-004	6,727388e-001
8,439511341078979e-004	6,173136e-001
8,459042591078979e-004	5,526035e-001
8,478573841078979e-004	4,795817e-001
8,498105091078979e-004	3,993465e-001
8,517636341078979e-004	3,131047e-001
8,537167591078979e-004	2,221536e-001
8,556698841078979e-004	1,278611e-001
8,576230091078979e-004	3,164548e-002
8,595761341078979e-004	-6,504615e-002
8,615292591078979e-004	-1,607594e-001
8,634823841078979e-004	-2,540547e-001
8,654355091078979e-004	-3,435288e-001
8,673886341078979e-004	-4,278359e-001
8,693417591078979e-004	-5,057079e-001
8,712948841078979e-004	-5,759737e-001
8,732480091078979e-004	-6,375762e-001
8,752011341078979e-004	-6,895890e-001
8,771542591078979e-004	-7,312298e-001
8,791073841078979e-004	-7,618721e-001
8,810605091078979e-004	-7,810552e-001
8,830136341078979e-004	-7,884905e-001
8,849667591078979e-004	-7,840662e-001
8,869198841078979e-004	-7,678488e-001
